Listing_Title,City,Area,Location,picode,Zone,Propery_Type,Size_In_Sqft,Carpet_Area_Sqft,Bedrooms,Bathrooms,Balcony,Frurnishing_Status,Amenities,Number_Of_Amenities,Security_Deposite,Rent_Price,Property_Age,Brokerage,Floor_No,Total_floors_In_Building,Maintenance_Charge,Nearby_Facilities,Recomened for,Muncipla Water Or Bore Water,Type of Society,Road Connectivity,Builder or Developer Name
3 BHK Flat for Rent,Nagpur,manewada,"Arya apartment, Manewada, Nagpur",,south zone,3 BHK Flat,1600.sqft,,3,3,3,Semi Furnished,parking,1,36000,18000,1 year,yes,2 Floor,16 Floors,No,"school, hospital,metro station,mall","family,batchelor,company",,,under 1 km,
3 BHK Flat for Rent,Nagpur,manewada,"Manewada, Nagpur",,south zone,3 BHK Flat,1700.sqft,1300.sqft,3,3,4,Semi Furnished,parking,1,37000,18500,,yes,3 Floor,5 Floors,No,"school,hospital,metro station,mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,itwari,"itwari , nagpur",,east zone,2 BHK house,800 .sqft,,2,2,,Unfurnished,,0,20000,10000,,No,,,No,"school, hospital, metro station,mall",family,,,under 2 km,
1 BHK Independent House for Rent,Nagpur,sitabuldi,"sitabuldi, nagpur",,west zone,1 BHK house,1500.sqft,,1,1,,Unfurnished,,0,20000,10000,,No,,,No,"school,hospital,metro station ,mall",,,,under 500 m,
2 BHK Flat for Rent,Nagpur,reshim bagh,"reshim bagh, nagpur",,east zone,2 BHK Flat,950.sqft,,2,2,3,Semi Furnished,"lift ,parking, power backpu, kids arear,water supply",5,30000,15000,5 years,yes,1 Floor,3 Floors,No,"school, hospital, metro station, mall","Family, batchelor, company",,,under 2 km,
2 BHK Independent House for Rent,Nagpur,nari village,"nari village, nagpur",,north zone,2 BHK house,1200.sqft,,2,2,,Unfurnished,"power Backup,Water supply,Gated Community",3,20000,10000,13 years,No,,,No,"school, hospita, metro station, mall","Family, batchelor, company",,,under 2 km,
2 BHK Independent House for Rent,Nagpur,nandanwan,"Gurudev Nagar, Bapu Nagar, Nandanvan, Nagpur",,south zone,2 BHK house,1300.sqft,,2,2,,Unfurnished,,0,100000,50000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,mahal,"mahal, nagpur",,east zone,3 BHK house,1500.sqft,,3,3,,Semi Furnished,,0,60000,30000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
1 BHK Independent Builder Floor for Rent,Nagpur,mahal,"mahal, nagpur",,east zone,1 BHK floor,400.sqft,,1,1,,Semi Furnished,,0,13000,6500,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,ganeshpeth,"Ganeshpeth Colony, Nagpur",,west zone,2 BHK floor,1200.sqft,,2,2,,Fully Furnished,,0,42000,21000,,No,3 Floor,4 floors,No,"school, hospita, metro station, mall",,,,under 2 km,
1 BHK Independent Builder Floor for Rent,Nagpur,rameshwari,"Bajrang Nagar, Rameshwari, Nagpur",,south zone,1 BHK floor,600.sqft,450.sqft,1,1,1,Fully Furnished,gas pipline,1,29000,14500,8 years,No,2 Floor,2 Floors,No,"school, hospita, metro station, mall","family, batchelor",,,under 2 km,
3 BHK Flat for Rent,Nagpur,dharampeth,"dharampeth, nagpur",,west zone,3 BHK Flat,1800.sqft,,3,3,3,Fully Furnished,"parking, Security, ATM",3,64000,32000,1 year,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall,bus stop","Family, batchelor, company",,,under 500 m,
2 BHK Flat for Rent,Nagpur,medical square,"Arihant plaza, Medical Chowk, Hanuman Nagar, Nagpur",,south zone,2 BHK Flat,1200.sqft,1100.sqft,2,2,3,Fully Furnished,parking,1,50000,25000,3 years,yes,2 Floor,4 floors,No,"school, hospita, metro station, mall","batchelor,family",,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,rameshwari,"Vilasnagar, Rameshwari, Nagpur",,south zone,2 BHK floor,1500.sqft,,2,2,3,Semi Furnished,,0,24000,12000,2 years,No,,,No,"school, hospita, metro station, mall",family,,,under 2 km,
1 RK Independent Builder Floor for Rent,Nagpur,dhantoli,"dhantoli, nagpur",,west zone,1 RK floor,500.sqft,,1,1,,Semi Furnished,,0,10000,5000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Flat for Rent,Nagpur,dhantoli,"Ved Solitare, Dhantoli, Nagpur",,west zone,2 BHK Flat,1250.sqft,,2,2,2,Semi Furnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,34000,17000,5 years,yes,2 Floor,5 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 BHK Flat for Rent,Nagpur,dhantoli,"Mits, Dhantoli, Nagpur",,west zone,1 BHK Flat,650.sqft,,1,1,2,Semi Furnished,parking,1,26000,13000,15 years,yes,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 BHK Independent Builder Floor for Rent,Nagpur,kalamna,"kalamna,nagpur",,south zone,1 BHK floor,700.sqft,,1,1,,Semi Furnished,,0,10000,5000,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
4 BHK Flat for rent,Nagpur,jaripatka,"Divya Apartment, Jaripatka, Nagpur",,north zone,4 BHK Flat,1988.sqft,,4,4,,Fully Furnished,,0,60000,30000,,No,1 Floor,4 floors,No,"school, hospita, metro station, mall","family,company",,,under 4 km,
1 BHK Flat for Rent,Nagpur,jaripatka,"Welcome society nara, Jaripatka, Nagpur",,north zone,1 BHK Flat,1500.sqft,,1,1,,Unfurnished,,0,19600,9800,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,mankapur,"mankapur,nagpur",,north zone,2 BHK floor,1500.sqft,,2,2,,Semi Furnished,,0,50000,25000,,No,1 Floor,3 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 3 km,
2 BHK Flat for Rent,Nagpur,mankapur,"Khagde classic, Mankapur, Nagpur",,north zone,2 BHK Flat,1163.sqft,1022.sqft,2,2,2,Semi Furnished,"lift,parking,power backup,pet allowed,water supply",5,30000,15000,5 years,yes,2 Floor,5 Floors,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 500 mtrs,
3 BHK Flat for Rent,Nagpur,jaitala,"Vasudev apartment, Jaitala, Nagpur",,south zone,3 BHK Flat,1700.sqft,1500.sqft,2,2,2,Fully Furnished,"lift,parking,power backup,water supply,intercome,kids area",6,56000,28000,5 years,yes,3 Floor,5 Floors,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Independent Builder Floor for Rent,Nagpur,jaitala,"Aanad Nagar, Jaitala, Nagpur",,south zone,2 BHK floor,1200.sqft,960.sqft,2,2,3,Unfurnished,parking,1,31000,15500,1 year,yes,1 Floor,1 Floor,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 2 km,
2 BHK Flat for Rent,Nagpur,Hingna,"L G Greenfield 1 Wing D, Hingna, Nagpur",,south zone,2 BHK Flat,449.sqft,,2,2,2,Unfurnished,"gym,lift,garden,parking,kids area, water supply",6,22000,11000,5 years,No,1 Floor,4 Floors,No,"school, hospita, metro station, mall",family,,,under 5 km,
2 BHK Flat for Rent,Nagpur,Hingna,"Green field 2, Hingna, Nagpur",,south zone,2 BHK Flat,952.sqft,,2,2,,Semi Furnished,,0,30000,15000,,No,,,No,"school, hospita, bus stop, mall",family,,,under 2 km,
2 BHK Flat for Rent,Nagpur,Hingna,"Paradise Hills New, Hingna, Nagpur",,south zone,2 BHK Flat,800.sqft,,2,2,1,Unfurnished,,0,14000,7000,,No,3 Floor,4 Floors,No,"school, hospita, bus stop, mall,metro station","family,batchelor",,,under 2 km,
2 BHK Flat for Rent,Nagpur,mihan,"First City Harmony, Mihan, Nagpur",,south zone,2 BHK Flat,849.sqft,800.sqft,2,2,2,Fully Furnished,"security,basket ball court,kids area, parking",4,54000,27000,2 years,yes,2 Floor,13 Floors,No,"school,hospita, bus stop,metro station,airport",family,,Township,under 4 km,
3 BHK Flat for Rent,Nagpur,mihan,"Shiv Kailasa, Mihan, Nagpur",,south zone,3 BHK Flat,1722.sqft,1200.sqft,3,3,3,Fully Furnished,parking,1,60000,30000,1 year,yes,9 Floor,16 Floors,No,"school,hospital,bus stop,metro station","family,batchelor,company",,Township,under 6 km,
1 BHK Flat for Rent,Nagpur,mihan,"Nagpur Integrated First City Project, Mihan, Nagpur",,south zone,1 BHK Flat,700.sqft, ,1,1,1,Fully Furnished,"pool,gym,lift,parking,power backup,intercom,pet allowed,garden, sport facility,kids area,geted community,water supply, gas pipline",13,36000,18000,5 years,yes,6 Floor,11 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 1 km,
3 BHK Independent House for Rent,Nagpur,mihan,"Mahindra Bloomdale Building 10 B, Mihan, Nagpur",,south zone,3 BHK house,1500.sqft,,3,3,,Semi Furnished,,0,20000,10000,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 5 km,
2 BHK Flat for Rent,Nagpur,Hingna,"Brick By Brick Green Park, Hingna, Nagpur",,south zone,2 BHK Flat,1001.sqft,,2,2,,Semi Furnished,"lift, parking, gated cummunity, water supply",4,30000,15000,,No,,,No,"school,hospital,metro station,bus stop",,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,Hingna,"Paradise Hills New, Hingna, Nagpur",,south zone,2 BHK Flat,800.sqft,,2,2,1,Unfurnished,,0,14000,7000,3 years,No,3 Floor,4 floors,No,"school,hospital,metro station,bus stop","family,batchelor",,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,gotal panjri,"DHL Singapore Life City, Gotal Pajri, Nagpur",,south zone,2 BHK Flat,621.sqft,,2,2,,Semi Furnished,,0,24000,12000,,No,1 Floor,6 Floors,No,"school,hospital,metro station,airport","family,batchelor",,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,beltarodi,"Fakhri Babji Enclave, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,2 BHK Flat,1000.sqft,900.sqft,2,2,1,Fully Furnished,"lift , pet allowed, geted cummunity",3,60000,30000,1 year,No,4 Floor,4 Floors,yes,"school,hospital,metro station,airport","family,company",,Township,under 2 km,
2 BHK Flat for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,2 BHK Flat,1350.sqft,963.sqft,2,2,2,Semi Furnished,"pool, gym,lift,parking,power backup, intercom,pet alloed, garden,sporty facility,kids area, geted cummunity, water supply",12,38000,19000,1 year,yes,7 Floor,13 Floors,No,"school,hospital,metro station,airport","family,company",,Township,under 4 km,
3 BHK Flat for Rent,Nagpur,beltarodi,"Maxx Glory, Prithviraj Nagar, Beltarodi, Nagpur",,south zone,3 BHK Flat,1700.sqft,1400.sqft,3,3,3,Semi Furnished,parking,1,56000,28000,1 year,yes,5 Floor,13 Floors,No,"school,hospital,metro station,airport","family,batchelor,company",,Township,under 4 km,
3 BHK Flat for Rent,Nagpur,manewada,"Pyramid City 6, Manewada, Nagpur",,south zone,3 BHK Flat,1650.sqft,,3,3,,Semi Furnished,,0,44000,22000,,No,,,No,"school, hospita, metro station, mall",,,Township,under 4 km,
2 BHK Flat for Rent,Nagpur,besa,"Atharva Nagari, Besa, Nagpur",,south zone,2 BHK Flat,750.sqft,673.sqft,2,2,3,Semi Furnished,parking,1,30000,15000,3 years,yes,9 Floor,11 Floors,No,"school,hospital,metro station,airport",family,,Township,under 3 km,
2 BHK Independent House for Rent,Nagpur,godhni,godhni nagpur,,north zone,2 BHK house,1000.sqft,,2,2,,Semi Furnished,,0,28000,14000,,No,,,No,"school, hospita, metro station, mall",,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,zingabai takli,"Om Satyam Tulip, Zingabai Takli, Nagpur",,west zone,2 BHK Flat,516.sqft,,2,2,1,Semi Furnished,parking,1,26000,13000,,No,,,No,"school, hospita, metro station, mall",family,,Township,under 1 km,
2 BHK Flat for Rent,Nagpur,nandanwan,"Shaikh consultancy, Bapu Nagar, Nandanvan, Nagpur",,south zone,2 BHK Flat,1050.sqft,950.sqft,2,1,3,Fully Furnished,"lift ,parking,power backup,intercom,sports facility, kids area,water supply, gas pipeline",8,50000,25000,10 years,yes,2 Floor,4 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,Township,under 1 km,
3 BHK Independent House for Rent,Nagpur,kotewada,"Mahalaxmi Nagar 10, Kotewada, Nagpur",,south zone,3 BHK house,2000.sqft,,3,3,3,Unfurnished,"garden,kids area,gated community,water supply",4,36000,18000,1 year,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
4 BHK Independent House for Rent,Nagpur,kotewada,"Fire The Empyrean, Kotewada, Nagpur",,south zone,4 BHK house,2600.sqft,,4,5,,Semi Furnished,,0,90000,45000,,No,,,No,"school, hospita, metro station","family,batchelor,company",,Township,under 10 km,
3 BHK Independent House for Rent,Nagpur,dighori,"dighori, nagpur",,south zone,3 BHK house,1500.sqft,,3,4,2,Semi Furnished,parking,1,12000,6000,,No,,,No,"school, hospita, metro station, mall",batchelor ,,,under 1 km,
4 BHK Independent Builder Floor for Rent,Nagpur,pratap nagar,"Rachana house, Pratap Nagar, Nagpur",,south zone,4 BHK floor,2500.sqft,,4,4,5,Fully Furnished,parking,1,140000,70000,5 years,yes,Ground Floor,2 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,pratap nagar,"pratap nagar, nagpur",,south zone,3 BHK house,1200.sqft,,3,3,3,Semi Furnished,parking,1,40000,20000,1 year,yes,,,No,"school,hospital,metro station,airport","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,seminary hills,"Himalaya hills, Seminary Hills, Nagpur",,West,2 BHK house,1261.sqft,1169.sqft,2,2,2,Fully Furnished,"parking,powert backup,pet allowed, water supply",4,44000,22000,5 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 4 km,
2 BHK Independent House for Rent,Nagpur,vayusena nagar,"Datta Niwas, Dabha, Vayusena Nagar, Nagpur",,West,2 BHK house,1269.sqft,1055.sqft,2,2,2,Semi Furnished,"parking ,pet allowd,water supply",3,28000,14000,3 years,yes,,,yes,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,nandanwan,"SM consultancy, Nandanvan, Nagpur",,south zone,2 BHK house,1235.sqft, 1163.sqft,2,2,2,Semi Furnished,"parking, security, ATM",3,30000,15000,4 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
2 BHK Independent House for Rent,Nagpur,ram nagar,"ram nagar ,nagpur",,west zone,2 BHK house,1250.sqft,1050.sqft,2,3,2,Fully Furnished,parking,1,60000,30000,10 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
2 BHK Independent House for Rent,Nagpur,manish nagar,"Manish Nagar ,Nagpur",,south zone,2 BHK house,900.sqft,900.sqft,2,2,1,Semi Furnished,"parking,gas pipeline",2,28000,14000,,No,,,No,"school, hospita, metro station, airport",bachelor,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,chandrakiran nagar,"chandrakiran nagar, nagpur",,West,2 BHK house,2000.sqft,1800.sqft,3,3,3,Semi Furnished,"parking,pet allowed,water supply",3,32000,16000,,No,,,No,"school,hospital,mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,duttawadi,"duttawadi,nagpur",,east zone,2 BHK house,1000.sqft,,2,2,4,Unfurnished,parking,1,24000,12000,15 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
2 BHK Independent House for Rent,Nagpur,bharatwada,"bharatwada,nagpur",,West,2 BHK house,930.sqft,,2,2,,Semi Furnished,,0,14000,7000,,No,,,No,"school,hospital,metro station,bus stop",,,,under 4 km,
2 BHK Independent House for Rent,Nagpur,boriyapura,"boriyapura,nagpur",,West,2 BHK house,850.sqft,,2,2,,Semi Furnished,"power backup,garden,water supply",3,15000,7500,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,omkar nagar,"Omkar Nagar, Gajanan Nagar, Nagpur",,south zone,2 BHK house,1400.sqft,,2,2,,Semi Furnished,"pet allowed,garden,water supply",3,48000,24000,,No,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,zingabai takli,"Arti township zingabai takli , Bhokara, Nagpur",,west zone,2 BHK house,750.sqft,,2,1,1,Unfurnished,,0,12000,6000,10 years,No,,,No,"school,hospital,metro station,bus stop",family,,,under 2 km,
2 BHK Independent House for Rent,Nagpur,khamla,"Purandar, Pande Layout, Khamla, Nagpur",,south zone,2 BHK house,2500.sqft,2000.sqft,2,2,1,Fully Furnished,,0,70000,35000,1 year,No,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,khamla,"Pande Layout, Khamla, Nagpur",,south zone,3 BHK house,1500.sqft,1450.sqft,3,3,2,Fully Furnished,"parking ,pet allowd,garden,ATM,gym,fire fighting sysytem,kids area",7,64000,32000,5 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
4 BHK Villa for Rent,Nagpur,beltarodi,"beltarodi, nagpur",,south zone,4 BHK villa,2000.sqft,,4,5,2,Fully Furnished,"pool,gym,lift,power backup,intercom,pet allowed,garden,sports facility,kids area ,geted cummunity,water supply,gas pipline",12,56000,28000,5 years,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
3 BHK Independent House for Rent,Nagpur,narendra nagar extension,"Narendra Nagar Extension, Nagpur",,south zone,3 BHK house,1800.sqft,1400.sqft,3,3,3,Semi Furnished,parking,1,46000,23000,12 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
1 BHK Independent House for Rent,Nagpur,ram nagar,"ram nagar ,nagpur",,west zone,1 BHK house,900.sqft,,1,1,1,Semi Furnished,parking,1,30000,15000,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 BHK Villa for Rent,Nagpur,ganeshpeth,"SM consultancy, Ganeshpeth Colony, Nagpur",,west zone,1 BHK villa,632.sqft,514.sqft,1,1,2,Semi Furnished,parking,1,20000,10000,6 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 500m,
3 BHK Independent House for Rent,Nagpur,kharbi,"Wathoda, Wathoda Layout, Kharbi, Nagpur",,north zone,3 BHK house,2000.sqft,1300.sqft,3,3,2,Semi Furnished,parking,1,50000,25000,12 years,yes,,,No,"school, hospita, metro station, mall","family,company",,,under 1 km,
1 BHK Independent House for Rent,Nagpur,gandhibagh,"Shaikh consultancy, Gandhibagh, Nagpur",,east zone,1 BHK house,700.sqft,600.sqft,1,1,2,Unfurnished,parking,1,18000,9000,5 years,yes,,,No,"school, hospita, metro station, mall",family,,,under 1 km,
3 BHK Independent House for Rent,Nagpur,wathoda,"Wathoda, Byramji Town, Nagpur",,north zone,3 BHK house,1500.sqft,,3,3,3,Semi Furnished,parking,1,50000,25000,9 years,yes,,,No,"school, hospita, metro station, mall","family,company",,,under 1 km,
1 RK Independent House for Rent,Nagpur,Trimurti Nagar,"Shingade niwas, Subhash Nagar, Trimurti Nagar, Nagpur",,West,1 RK house,400.sqft,,1,1,,Semi Furnished,"paeking ,water supply",2,10000,5000,,No,,,No,"school, hospita, metro station, airport",bachelor,,,under 1 km,
2 BHK Independent House for Rent,Nagpur,dighori,"Sai Ashray, Dighori, Nagpur",,south zone,2 BHK house,1265.sqft,1100.sqft,2,2,2,Semi Furnished,parking,1,28000,14000,,No,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 2 km,
3 BHK Independent House for Rent,Nagpur,kharbi,"Shaikh consultancy, Kharbi, Nagpur",,south zone,3 BHK house,1500.sqft,1300.sqft,3,3,4,Semi Furnished,parking,1,36000,18000,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK Duplex for Rent,Nagpur,wardhman nagar,"wardhaman nagar,nagpur",,West,3 BHK duplex,1700.sqft,1500.sqft,3,3,4,Semi Furnished,"parking, paower backup,pet allowed,garden,sports facility,kids area,geted community,water supply",8,50000,25000,5 years,yes,Ground Floor,2 Floors,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 BHK Independent House for Rent,Nagpur,nandanwan,"nandanwan,nagpur",,south zone,1 BHK house,879.sqft,753.sqft,1,1,2,Semi Furnished,"parking,kids area, ATM",3,21000,10500,,yes,,,No,"school,hospital,metro station,bus stop","family,batchelor,company",,,under 500m,
5 BHK Independent House for Rent,Nagpur,itwari,"itwari , nagpur",,east zone,5 BHK house,1508.sqft,1365.sqft,2,2,2,Fully Furnished,"parking,close to jain temple",2,90000,45000,5 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
3 BHK villa for rent,Nagpur,dharampeth,"dharampeth, nagpur",,west zone,3 BHK villa,2000.sqft,,3,3,3,Fully Furnished,parking,1,96000,48000,2 years,yes,,,No,"school, hospita, metro station, mall","family,batchelor,company",,,under 1 km,
1 BHK Independent House for Rent,Nagpur,ashirwad nagar,"ashirwad nagar , nagpur",,West,3 BHK house,1200.sqft,,3,3,3,Unfurnished,parking,1,40000,20000,,No,,,No,"school, hospita, metro station, mall",,,,under 1 km,
1 RK Independent house for Rent,Nagpur,besa,"besa, nagpur",,south zone,1 RK house,180.sqft,150.sqft,1,1,,Semi Furnished,,0,10000,5000,10 years,yes,,,No,"school, hospita, metro station, airport","family,batchelor,company",,,under 1 km,
1 BHK Independent House for Rent,Nagpur,Trimurti Nagar,"Subhash Nagar, Trimurti Nagar, Nagpur",,West,1 BHK house,650.sqft,,1,1,1,Semi Furnished,"parking, pet allowed,garden,sports facility,kids area, water supply,gas pipeline",7,22000,11000,,No,,,No,"school, hospita, metro station, airport","family,company",,,under 1 km,
1 RK Independent House for Rent,Nagpur,sanmarga nagar,"sanmarga nagar, nagpur",,West,1 RK house,200.sqft,,1,1,,Semi Furnished,,0,7000,3500,,No,,,No,"school, hospita, metro station, mall","family, batchelor",,,under 1 km,
1 RK Independent House for Rent,Nagpur,kalmeshwar ,"Pravin electronics , Kalameshwar, Nagpur",,rural,1 RK house,600.sqft,,1,1,,Unfurnished,,0,8000,4000,,No,,,No,"school,hospital,bus stop,mall",,,,under 1 km,
3 BHK Villa for Rent,Nagpur,narsala,"S H Town, Narsala, Nagpur",,West,3 BHK villa,1800.sqft,1600.sqft,3,3,2,Semi Furnished,"parking, pet allowed,garden,geted community,water supply",5,50000,25000,,yes,,,yes,"school, hospita, metro station, mall","family,company",,,under 2 km,
3 BHK Independent House for Rent,Nagpur,mihan,"mihan,nagpur",,south zone,3 BHK house,1500.sqft,,3,3,3,Semi Furnished,"pool,parking,garden,kids area,gated community",5,36000,18000,,No,,,No,"school, hospita, metro station, airport","family,company",,,under 1 km,
